Top level category,# of descendants,# of pictures
types-of-pictures-and-photographic-tec.,83,376328
sports,232,326424
human-life,217,230672
meetings-conferences-and-events,40,120355
finance-and-business-and-industry,283,106251
media,21,102824
politics,75,80164
royal-families,24,79014
art-and-culture,152,67474
the-legal-system-crime,163,62227
fashions-jewellery-and-clothes,77,52810
houses-buildings-and-construction,197,47501
transport,234,41010
miscellaneous,56,31416
leisure,127,26875
accidents-and-natural-disasters,97,24956
seasons-and-weather,37,24165
holidays-and-days-of-public-celebration,39,23871
nature,120,18058
health-and-health-services,132,14292
science-and-technology,111,14155
food-beverages-snacks-and-cooking,227,13061
war-and-military-affairs,59,11804
geography,20,11484
religion-and-philosophy-of-life,72,9531
industry-and-industrial-facilities,93,8839
schools-and-education,31,7757
community-life-and-social-conditions,21,6610
animals,330,6523
pollution-and-environmental-protection,33,5985
orqanizations-and-associations,2,2798
